chembl_id,name,smiles,MolLogP,QED,TPSA,NumHAcceptors,NumHDonors,MolWt,NumRotatableBonds,RingCount,FractionCSP3,HeavyAtomCount
CHEMBL220492,TOPIRAMATE,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,-0.3953999999999982,0.7386170940393365,115.54,8,1,339.3660000000001,3,3,1.0,22
CHEMBL373742,VASOPRESSIN,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,-5.194830000000016,0.027061145448137598,461.42999999999984,16,15,1084.253,19,4,0.4782608695652174,75
CHEMBL1429,DESMOPRESSIN,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,-4.13203000000001,0.027500717327745408,435.40999999999985,15,14,1069.2379999999998,19,4,0.4782608695652174,74
CHEMBL426559,LAROPIPRANT,CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@@H](CC(=O)O)CC3,4.390100000000004,0.6444080585360621,76.37,4,1,435.90400000000017,5,4,0.2857142857142857,29
CHEMBL221959,TOFACITINIB,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,1.5447799999999996,0.9284511020269034,88.91,5,1,312.377,3,3,0.5,23
CHEMBL185,FLUOROURACIL,O=c1[nH]cc(F)c(=O)[nH]1,-0.7977000000000001,0.482564502908463,65.72,2,2,130.078,0,1,0.0,9
CHEMBL1430,PENICILLAMINE,CC(C)(S)[C@@H](N)C(=O)O,0.10669999999999985,0.4880905977699923,63.32000000000001,3,3,149.215,2,0,0.8,9
CHEMBL1431,METFORMIN,CN(C)C(=N)NC(=N)N,-1.034159999999999,0.24878483893146577,88.99000000000001,2,4,129.167,0,0,0.5,9
CHEMBL376897,METHSCOPOLAMINE,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,1.0626999999999995,0.5123331583066539,59.06,4,1,318.3930000000001,4,4,0.6111111111111112,23
CHEMBL1433,DOXYCYCLINE ANHYDROUS,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,-0.3475999999999985,0.3322174879037973,181.62,9,6,444.44000000000017,2,4,0.4090909090909091,32
CHEMBL1434,MINOCYCLINE,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.1866000000000017,0.3983715598370968,164.63,9,5,457.48300000000023,3,4,0.43478260869565216,33
CHEMBL1435,CEFAZOLIN,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,-0.6360799999999995,0.4051904538567724,156.08999999999997,12,2,454.5190000000002,7,4,0.42857142857142855,29
CHEMBL1436,CEFUROXIME,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,-0.5359999999999987,0.29500804859666163,173.76,9,3,424.39100000000013,7,3,0.3125,29
CHEMBL222645,FLOXACILLIN,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,2.6878199999999994,0.6840735128490479,112.74,6,2,453.8790000000002,4,4,0.3684210526315789,30
CHEMBL186,CEFEPIME,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,-1.2798999999999958,0.2120409462153182,150.04000000000002,10,2,480.5720000000003,7,4,0.5263157894736842,32
CHEMBL374975,FUSIDIC ACID,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,5.6661000000000055,0.24722169401317395,104.06000000000002,5,3,516.7190000000004,5,4,0.8064516129032258,37
CHEMBL222559,TIPRANAVIR,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,7.325500000000007,0.22283676302795785,105.59000000000002,6,2,602.6750000000001,11,4,0.3548387096774194,42
CHEMBL222863,OUABAIN,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,-1.5149999999999972,0.14016402002820666,206.59999999999997,12,8,584.6590000000006,4,6,0.896551724137931,41
CHEMBL1437,NOREPINEPHRINE,NC[C@H](O)c1ccc(O)c(O)c1,0.08989999999999998,0.4724272074622585,86.71000000000001,4,4,169.17999999999998,2,1,0.25,12
CHEMBL222813,ZANAMIVIR,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,-3.5758299999999963,0.17886938514586126,198.22,7,8,332.313,6,1,0.5833333333333334,23
CHEMBL1439,TAZOBACTAM SODIUM,C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+],-5.853899999999997,0.4006318449516377,125.28999999999999,8,0,322.278,3,3,0.6,21
CHEMBL224325,CHLORQUINALDOL,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,3.5556200000000016,0.7472547980233716,33.120000000000005,2,1,228.078,0,2,0.1,14
CHEMBL376140,TIGECYCLINE,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.5132000000000028,0.18087523730691585,205.75999999999996,11,7,585.6580000000004,6,4,0.5172413793103449,42
CHEMBL376488,BEDAQUILINE,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,7.1305000000000085,0.22135475238825777,45.59,4,1,555.5160000000003,8,5,0.21875,37
CHEMBL1440,TETRACYCLINE,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,-0.21439999999999837,0.3361104616305243,181.61999999999998,9,6,444.44000000000017,2,4,0.4090909090909091,32
CHEMBL1441,ETHIONAMIDE,CCc1cc(C(N)=S)ccn1,1.2782,0.6725460532160716,38.91,2,1,166.24900000000002,2,1,0.25,11
CHEMBL225071,RALTITREXED,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,1.9772199999999995,0.3796834810105909,152.69,7,4,458.4960000000002,9,3,0.2857142857142857,32
